,Last_Update,Province_State,Country_Region,Confirmed,Deaths,Confirmed_perday,Deaths_perday
43,2022-11-25 04:21:06,Alagoas,Brazil,323041,7137,204.0,0.0
43,2022-11-26 04:21:11,Alagoas,Brazil,323331,7137,290.0,0.0
43,2022-11-27 04:21:05,Alagoas,Brazil,323331,7137,0.0,0.0
43,2022-11-28 04:21:02,Alagoas,Brazil,323331,7137,0.0,0.0
43,2022-11-29 04:21:05,Alagoas,Brazil,323331,7137,0.0,0.0
43,2022-11-30 04:21:07,Alagoas,Brazil,324078,7139,747.0,2.0
44,2022-11-23 04:21:06,Amapa,Brazil,180171,2165,-143907.0,-4974.0
44,2022-11-24 04:21:09,Amapa,Brazil,180464,2165,293.0,0.0
44,2022-11-25 04:21:06,Amapa,Brazil,180684,2165,220.0,0.0
44,2022-11-26 04:21:11,Amapa,Brazil,180941,2165,257.0,0.0
44,2022-11-27 04:21:05,Amapa,Brazil,180941,2165,0.0,0.0
